"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","workflow automation",,,1,"Mar 2, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Mar 1, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Feb 27, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",,,1,"Feb 22, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",,,1,"Feb 21, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Feb 20, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 5 times by 1 anonymous user","david lipsey, digital asset management",,,1,"Feb 17, 2023",2,5,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","3 pages viewed a total of 5 times by 1 Anonymous user","https://tenovos.com/customers/, https://tenovos.com/, https://tenovos.com/001-homepage-tenovos-forrester-wave-2/",3,5,1,"Feb 16, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/",1,,1,"Feb 16, 2023",,,1
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Feb 15, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Feb 14, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 2 times by 2 Anonymous users","https://tenovos.com/001-homepage-tenovos-forrester-wave-2/",1,2,2,"Feb 13, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",,,1,"Feb 13, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 2 times by 2 anonymous users","hyland, marketing performance",,,2,"Feb 11, 2023",2,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 page viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/001-homepage-tenovos-forrester-wave-2/",1,2,1,"Feb 10, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages viewed a total of 7 times by 3 Anonymous users","https://tenovos.com/001-homepage-tenovos-forrester-wave-2/, https://tenovos.com/",2,7,3,"Feb 9, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages clicked a total of 4 times by 3 Anonymous users","https://tenovos.com/001-homepage-tenovos-forrester-wave-2/, https://tenovos.com/",2,,3,"Feb 9, 2023",,,4
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","hyland",,,1,"Feb 9, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","hyland",,,1,"Feb 5, 2023",1,2,
