"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked","impressions","campaigns"
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","2 pages clicked a total of 5 times by 1 Anonymous user","https://tenovos.com/resources/blog/hiring-your-dam-dream-team/, https://tenovos.com/resources/blog/",2,,1,"Apr 8, 2023",,,5,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/resources/blog/the-definitive-guide-to-dam-adoption/",1,1,1,"Apr 7, 2023",,,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","widen",,,1,"Apr 6, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page viewed a total of 1 time by 1 Anonymous user","https://tenovos.com/why/digital-asset-management-roi/",1,1,1,"Apr 5, 2023",,,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 page clicked a total of 1 time by 1 Anonymous user","https://tenovos.com/why/digital-asset-management-roi/",1,,1,"Apr 5, 2023",,,1,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Apr 4, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",,,1,"Mar 31, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","smartsheet",,,1,"Mar 28, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 2 times by 1 anonymous user","content hub",,,1,"Mar 27, 2023",1,2,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",,,1,"Mar 25, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 4 times by 1 anonymous user","taxonomy",,,1,"Mar 24, 2023",1,4,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","content delivery network",,,1,"Mar 23, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","content hub",,,1,"Mar 19, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Mar 18, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 5 times by 1 anonymous user","Informatica",,,1,"Mar 16, 2023",1,5,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",,,1,"Mar 13, 2023",1,1,,,
"/discover/account/detail/25dae798a01c689/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","Chick-fil-A, Inc.","United States - chick-fil-a.com","1 keyword researched a total of 1 time by 1 anonymous user","taxonomy",,,1,"Mar 8, 2023",1,1,,,
