"cardURL","companyName","countryWebsite","description","detail","keywordsResearched","timesResearched","numberOfPeople","date","impressions","campaigns","pagesViewed","timesViewed"
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","canto",1,1,1,"Mar 12, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 2 times by 2 anonymous users","content delivery network, taxonomy",2,2,2,"Mar 10, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","3 keywords researched a total of 3 times by 3 anonymous users","canto, hyland, content delivery network",3,3,3,"Mar 5, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","11 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 2, 2023",11,1,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","23 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Mar 1, 2023",23,1,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","marketing performance",1,1,1,"Mar 1, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","42 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 28, 2023",42,1,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 11 times by 5 anonymous users","hyland, marketing performance",2,11,5,"Feb 28, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","35 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 27, 2023",35,1,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 1 time by 1 anonymous user","digital asset manager",1,1,1,"Feb 27, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 25, 2023",2,1,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","2 keywords researched a total of 3 times by 3 anonymous users","marketing performance, digital asset management",2,3,3,"Feb 25, 2023",,,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","43 Media Impressions in 1 Campaign","https://tenovos.abm.6sense.com/campaigns/view/98139",,,,"Feb 24, 2023",43,1,,
"/discover/account/detail/ed246849cc6e79f/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-05-17"",""endDate"":""2023-08-14""}","MUY!","United States - muycompanies.com","1 keyword researched a total of 11 times by 3 anonymous users","digital asset management",1,11,3,"Feb 24, 2023",,,,
